last_changed,binary_sensor.bayesianbinary,binary_sensor.bedroom_motion_sensor,binary_sensor.blink_armed_status,binary_sensor.blink_blink_camera_percy_motion_enabled,binary_sensor.hall_motion_sensor,binary_sensor.in_bed_bayesian,binary_sensor.living_room_motion_sensor,binary_sensor.living_room_nest_protect_online,binary_sensor.motion_at_home,binary_sensor.workday_sensor
2017-07-23 07:36:53.954649,,,,,,,True,,,
2017-07-23 07:37:02.941628,,,,,,,False,,,
2017-07-23 07:37:04.945287,,,,,,,True,,,
2017-07-23 07:37:14.942083,,,,,,,False,,,
2017-07-23 07:37:49.954974,,,,,,,True,,,
2017-07-23 07:38:07.942713,,,,,,,False,,,
2017-07-23 07:38:19.942647,,,,,,,True,,,
2017-07-23 07:38:19.970880,,True,,,,,,,,
2017-07-23 07:38:29.969239,,False,,,,,,,,
2017-07-23 07:38:33.943419,,,,,,,False,,,
2017-07-23 07:38:37.941142,,,,,,,True,,,
2017-07-23 07:38:48.942699,,,,,,,False,,,
2017-07-23 07:39:07.941371,,,,,,,True,,,
2017-07-23 07:39:29.984087,,True,,,,,,,,
2017-07-23 07:39:44.969623,,False,,,,,,,,
2017-07-23 07:39:48.982267,,True,,,,,,,,
2017-07-23 07:40:07.988034,,False,,,,,,,,
2017-07-23 07:40:28.982848,,True,,,,,,,,
2017-07-23 07:40:38.943231,,,,,,,False,,,
2017-07-23 07:40:38.972607,,False,,,,,,,,
2017-07-23 07:40:40.940920,,,,,,,True,,,
2017-07-23 07:40:43.969255,,True,,,,,,,,
2017-07-23 07:40:57.969884,,False,,,,,,,,
2017-07-23 07:41:21.939639,,,,,,,False,,,
2017-07-23 07:41:22.943035,,,,,,,True,,,
2017-07-23 07:41:41.988417,,True,,,,,,,,
2017-07-23 07:42:21.984454,,False,,,,,,,,
2017-07-23 07:42:32.984919,,True,,,,,,,,
2017-07-23 07:42:51.984123,,False,,,,,,,,
2017-07-23 07:43:03.970324,,True,,,,,,,,
2017-07-23 07:43:19.968830,,False,,,,,,,,
2017-07-23 07:43:25.983667,,True,,,,,,,,
2017-07-23 07:43:35.968619,,False,,,,,,,,
2017-07-23 07:44:44.086340,,,,,,,False,,,
2017-07-23 07:44:49.943176,,,,,,,True,,,
2017-07-23 07:45:03.970310,,True,,,,,,,,
2017-07-23 07:45:15.067218,,False,,,,,,,,
2017-07-23 07:45:46.968725,,,,,,,False,,,
2017-07-23 07:45:56.956728,,,,,,,True,,,
2017-07-23 07:46:13.969332,,True,,,,,,,,
2017-07-23 07:46:29.981044,,False,,,,,,,,
2017-07-23 07:46:39.956334,,,,,,,False,,,
2017-07-23 07:46:45.955890,,,,,,,True,,,
2017-07-23 07:47:09.926311,,,,,True,,,,,
2017-07-23 07:47:13.967911,,True,,,,,,,,
2017-07-23 07:47:27.910505,,,,,False,,,,,
2017-07-23 07:47:43.968683,,False,,,,,,,,
2017-07-23 07:47:54.970029,,True,,,,,,,,
2017-07-23 07:48:02.955489,,,,,,,False,,,
2017-07-23 07:48:04.941899,,,,,,,True,,,
2017-07-23 07:48:52.076724,,,,,,,False,,,
2017-07-23 07:48:53.957736,,,,,,,True,,,
2017-07-23 07:49:11.971511,,False,,,,,,,,
2017-07-23 07:49:31.925632,,,,,True,,,,,
2017-07-23 07:49:40.911113,,,,,False,,,,,
2017-07-23 07:49:51.941166,,,,,,,False,,,
2017-07-23 07:50:08.912286,,,,,True,,,,,
2017-07-23 07:50:15.924478,,,,,,,True,,,
